EmployeeID,FirstName,LastName,StoreID,Position,HireDate
1,FirstName_1,LastName_1,8,Manager,2022-11-26 00:00:00
2,FirstName_2,LastName_2,5,Cashier,2020-10-06 00:00:00
3,FirstName_3,LastName_3,3,Cashier,2021-05-11 00:00:00
4,FirstName_4,LastName_4,8,Cashier,2020-10-28 00:00:00
5,FirstName_5,LastName_5,6,Sales Associate,2020-06-29 00:00:00
6,FirstName_6,LastName_6,3,Cashier,2021-08-29 00:00:00
7,FirstName_7,LastName_7,1,Cashier,2021-11-30 00:00:00
8,FirstName_8,LastName_8,3,Cashier,2022-09-19 00:00:00
9,FirstName_9,LastName_9,5,Cashier,2020-07-09 00:00:00
10,FirstName_10,LastName_10,3,Manager,2020-09-09 00:00:00
11,FirstName_11,LastName_11,1,Manager,2022-09-07 00:00:00
12,FirstName_12,LastName_12,5,Cashier,2022-07-16 00:00:00
13,FirstName_13,LastName_13,10,Sales Associate,2020-05-07 00:00:00
14,FirstName_14,LastName_14,7,Manager,2020-01-18 00:00:00
15,FirstName_15,LastName_15,7,Cashier,2021-07-19 00:00:00
16,FirstName_16,LastName_16,9,Manager,2021-07-23 00:00:00
17,FirstName_17,LastName_17,10,Manager,2021-11-16 00:00:00
18,FirstName_18,LastName_18,10,Sales Associate,2021-09-17 00:00:00
19,FirstName_19,LastName_19,3,Cashier,2022-05-03 00:00:00
20,FirstName_20,LastName_20,7,Cashier,2022-08-19 00:00:00
21,FirstName_21,LastName_21,1,Sales Associate,2020-06-03 00:00:00
22,FirstName_22,LastName_22,4,Sales Associate,2021-05-04 00:00:00
23,FirstName_23,LastName_23,4,Cashier,2022-02-23 00:00:00
24,FirstName_24,LastName_24,5,Cashier,2020-09-02 00:00:00
25,FirstName_25,LastName_25,7,Sales Associate,2022-11-28 00:00:00
26,FirstName_26,LastName_26,7,Manager,2022-01-28 00:00:00
27,FirstName_27,LastName_27,4,Manager,2021-06-21 00:00:00
28,FirstName_28,LastName_28,7,Sales Associate,2022-07-09 00:00:00
29,FirstName_29,LastName_29,3,Manager,2021-02-11 00:00:00
30,FirstName_30,LastName_30,6,Sales Associate,2021-06-08 00:00:00
31,FirstName_31,LastName_31,2,Manager,2022-04-07 00:00:00
32,FirstName_32,LastName_32,10,Manager,2022-06-21 00:00:00
33,FirstName_33,LastName_33,9,Cashier,2020-02-05 00:00:00
34,FirstName_34,LastName_34,5,Cashier,2021-11-15 00:00:00
35,FirstName_35,LastName_35,6,Manager,2020-01-20 00:00:00
36,FirstName_36,LastName_36,4,Manager,2020-11-16 00:00:00
37,FirstName_37,LastName_37,10,Cashier,2021-05-26 00:00:00
38,FirstName_38,LastName_38,7,Cashier,2021-02-03 00:00:00
39,FirstName_39,LastName_39,9,Cashier,2021-10-15 00:00:00
40,FirstName_40,LastName_40,7,Sales Associate,2022-08-29 00:00:00
41,FirstName_41,LastName_41,1,Manager,2021-04-15 00:00:00
42,FirstName_42,LastName_42,1,Cashier,2022-04-13 00:00:00
43,FirstName_43,LastName_43,9,Manager,2021-12-27 00:00:00
44,FirstName_44,LastName_44,9,Sales Associate,2022-05-03 00:00:00
45,FirstName_45,LastName_45,4,Sales Associate,2020-02-20 00:00:00
46,FirstName_46,LastName_46,9,Cashier,2021-07-28 00:00:00
47,FirstName_47,LastName_47,3,Sales Associate,2020-05-29 00:00:00
48,FirstName_48,LastName_48,7,Manager,2020-11-09 00:00:00
49,FirstName_49,LastName_49,6,Cashier,2021-07-23 00:00:00
50,FirstName_50,LastName_50,8,Manager,2020-10-31 00:00:00
51,FirstName_51,LastName_51,9,Manager,2021-11-12 00:00:00
